file_name,version,subset,content_type,split,width,height,resolution,quality,aspect_ratio,image_mode,format,source_tag,competition,region,venue,has_carpet
grounds/BBL(11).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(110).jpg,v2,grounds,broadcast,validation,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1100).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1101).jpg,v2,grounds,broadcast,test,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1102).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1103).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1104).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1105).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1106).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1107).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1108).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1109).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(111).jpg,v2,grounds,broadcast,test,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1110).jpg,v2,grounds,broadcast,test,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1111).jpg,v2,grounds,broadcast,validation,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1112).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1113).jpg,v2,grounds,broadcast,validation,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1114).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1115).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1116).jpg,v2,grounds,broadcast,validation,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1117).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1118).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1119).jpg,v2,grounds,broadcast,validation,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(112).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1120).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1121).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1122).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1123).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1124).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1125).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1126).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1127).jpg,v2,grounds,broadcast,validation,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1128).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1129).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(113).jpg,v2,grounds,broadcast,test,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1130).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1131).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
grounds/BBL(1132).jpg,v2,grounds,broadcast,train,1280,616,1280x616,HD-Ready,2.078,RGB,JPEG,bbl,Big Bash League,Australia,,
